"URL","Alternative Title#3","Alternative Title#4","Alternative Title#5","Alternative Title#6","Alternative Title#7","Title#1","Alternative Title#1","Alternative Title#2","Creator#1","Creator#2","Creator#3","Creator#4","Format#1","Duration#1","File Size#1","Subject#3","Subject#4","Description#4","Date#4","Subject#5","Description#5","Date#5","Description#6","Date#6","Description#7","Date#7","Subject#1","Subject#2","Description#2","Publisher#1","Date of Digital Conversion#1","Physical Item Location#1","Source#1","Language#1","Type#1","Digitization Specifications#1","Rights#1","FileID#1","ln_RECORDID","lnexp_MEDIAFILENAME"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB15911'>Listen to Audio</a>","","","","","","After the Ball Is Over","","","Greer, Beulah (performer)","Harris, Chas. K. (Charles Kassell), 1864-1930 (composer)","","","audio/mp3","0:31","761,104 bytes","Folk music -- Colorado","Popular music -- To 1904","","","","Popular song 1892","","","7/8/1964","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 159 Track 11","Field recording, reel-to-reel tape, recorded 7/8/1964","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB15911","351003","UCB15911.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB13001'>Listen to Audio</a>","","","","","","All Around the Mulberry Bush (fragment)","","","Martin, William (performer)","","","","audio/mp3","0:20","487,131 bytes","Folk music -- Colorado","Play party","","","","Play Party Song","","","8/1/1963","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 6 Tape 130 Track 01","Field recording, reel-to-reel tape, recorded 8/1/1963","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB13001","349650","UCB13001.jpg|UCB13001.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB05511'>Listen to Audio</a>","","","","","","All Upon a Washing Day","","","Hutchins, Emma (performer)","","","","audio/mp3","3:02","4,391,079 bytes","Humorous songs","Folk music -- Colorado","","","","Comic song","","","11/1/1961","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 3 Tape 055 Track 11","Field recording, reel-to-reel tape, recorded 11/1/1961","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB05511","347122","UCB05511.jpg|UCB05511.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB10207'>Listen to Audio</a>","Farewell, I Think I Love You Still","","","","","And So You Have Come Back to Me","Too Late","Lover's Return","Peyton, James Baxter (performer)","","","","audio/mp3","3:22","4,870,687 bytes","Folk music -- Colorado","Popular music -- To 1917","","","","Popular Song 1860","","","12/1/1962","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 5 Tape 102 Track 07","Field recording, reel-to-reel tape, recorded 12/1/1962","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB10207","350502","UCb10207.jpg|UCB10207.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB13712'>Listen to Audio</a>","Farewell, I Think I Love You Still","","","","","And So You Have Come Back to Me (fragment)","Too Late","Lover's Return","Martin, Martha (performer)","","","","audio/mp3","0:21","525,375 bytes","Folk music -- Colorado","Popular music -- To 1918","","","","Popular Song 1860","","","12/26/1963","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 3 Tape 137 Track 11","","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB13712","350517","UCB13712.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB13039'>Listen to Audio</a>","","","","","","Anna Lee","Jealousy","Saucy Anna Lee","Meyers, Foster (performer)","","","","audio/mp3","3:45","5,401,078 bytes","Folk music -- Colorado","","Popular Song","","","","8/1/1963","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 6 Tape 130 Track 39","Field recording, reel-to-reel tape, recorded 8/1/1963","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB13039","350102","UCB13039.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB16906'>Listen to Audio</a>","","","","","","Answer to Sod Shanty","","","Hutchins, Emma (performer)","","","","audio/mp3","4:24","6,352,144 bytes","Folk music -- Colorado","","Popular Song","","","","5/22/1965","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 169 Track 06","Field recording, reel-to-reel tape, recorded 5/22/1965","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB16906","350223","UCB16906.jpg|UCB16906.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB16907'>Listen to Audio</a>","","","","","","Answer to the Answer to Sod Shanty","","","Hutchins, Emma (performer)","","","","audio/mp3","3:31","5,075,696 bytes","Folk music -- Colorado","","Popular Song","","","","5/22/1965","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 169 Track 07","Field recording, reel-to-reel tape, recorded 5/22/1965","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB16907","350235","UCB16907.jpg|UCB16907.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB10719'>Listen to Audio</a>","","","","","","Answer to the Gypsy's Warning","","","Peyton, James Baxter (performer)","","","","audio/mp3","3:19","4,786,051 bytes","Folk music -- Colorado","","Popular Song","","","","12/17/1962","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 5 Tape 107 Track 19","Field recording, reel-to-reel tape, recorded 12/17/1962","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB10719","350030","UCB10719.jpg|UCB10719.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB02608'>Listen to Audio</a>","","","","","","Are you from Dixie?","Dixie","","Meyers, Frank (performer)","Yellen, Jack, 1892- (composer)","","","audio/mp3","1:08","1,650,730 bytes","Folk music -- Colorado","","Popular Song 1915","","","","3/1/1954","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 2 Tape 026 Track 08","Field recording, reel-to-reel tape, recorded 3/1/1954","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB02608","351865","UCB02608.jpg|UCB02608.jpg"
